Point,Latitude,Longitude,Accipitridae,Aegithinidae,Alcedinidae,Bucerotidae,Campephagidae,Chloropseidae,Cisticolidae,Columbidae,Corvidae,Cuculidae,Dicruridae,Leiothrichidae,Megalaimidae,Merles,Meropidae,Monarchidae,Muscicapidae,Nectariniidae,Pellorneidae,Phasianidae,Phylloscopidae,Pittidae,Psittaculidae,Pycnonotidae,Strigidae,Sturnidae,Zosteropidae
1,24.12557465,91.44404719,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,2,0,0,0,4,0
2,24.12483797,91.44842944,0,0,0,1,2,1,0,0,0,0,1,0,2,0,1,0,0,0,0,0,4,0,0,0,0,0,0
3,24.12587162,91.45181662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,2,0,0,0,0
4,24.12601718,91.45607174,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,3,1
5,24.12332107,91.45695881,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,4,2
6,24.12281039,91.4541327,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,2,0,2,0
7,24.12316488,91.45065188,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,1,0,0,1,0,0,2,0
8,24.1229368,91.44583957,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,1,0,0,0
9,24.12317612,91.44280188,0,0,0,0,1,0,0,0,0,0,1,0,2,0,2,1,0,0,0,0,1,0,2,0,0,4,0
10,24.12105102,91.44382196,0,1,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,2,1,0,0,2
11,24.12077351,91.44692772,0,0,0,0,0,0,2,0,0,0,3,2,0,0,8,0,0,0,0,3,0,3,0,0,0,0,0
12,24.1211563,91.44969122,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0
13,24.12042471,91.45287778,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,1,0,0,2,2,0,0,0
14,24.11891224,91.45531009,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,5,0,0,0,3,0,0,1,0,0,0
15,24.11867713,91.44807719,1,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,4,4
16,24.1193132,91.44519417,0,0,0,0,3,0,0,0,1,0,2,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0
17,24.117193,91.44488898,0,0,0,0,0,0,0,0,0,0,2,1,1,5,3,2,0,0,2,0,2,0,0,1,0,1,0
18,24.11632698,91.44681104,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,2,1,1,0,2,0,0,2,0
19,24.11712532,91.45006388,0,0,0,1,0,0,2,1,0,1,5,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1
20,24.11749592,91.45333014,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,2,0
21,24.1153212,91.45406168,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
22,24.1152259,91.45109523,0,0,0,0,0,0,3,0,0,0,0,0,2,0,3,1,1,0,0,1,2,0,0,0,0,0,0
23,24.11388198,91.44912402,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0
24,24.11321502,91.45258307,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,3
25,24.11105118,91.45254024,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,1,2,1,0,11,0,0,1,0
26,24.11135037,91.44968023,0,0,0,0,0,0,1,1,0,0,6,0,2,0,4,0,0,0,0,0,1,0,3,0,0,3,0
27,24.10891696,91.45125504,0,0,0,1,1,0,0,1,0,0,3,0,0,0,2,2,0,0,3,1,2,0,2,0,0,1,1
28,24.10945097,91.45426598,0,0,0,1,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,3,0,0,9,0,0,3,0
